name,price,quantity,brand,category,entry_date,total_value,total_value2,description_value2
Laptop,1200,4,BrandName,Electronics,2024-01-05,4800.0,4800.0,Laptop de la marca BrandName Costo: $1200 Disponibles: 4 Unidades 
Mouse,45,120,TechGear,Accessories,2024-02-10,5400.0,5400.0,Mouse de la marca TechGear Costo: $45 Disponibles: 120 Unidades 
Keyboard,70,60,KeyMasters,Accessories,2024-02-12,4200.0,4200.0,Keyboard de la marca KeyMasters Costo: $70 Disponibles: 60 Unidades 
Monitor,320,15,ViewSharp,Electronics,2024-03-01,4800.0,4800.0,Monitor de la marca ViewSharp Costo: $320 Disponibles: 15 Unidades 
Headphones,150,25,SoundMax,Audio,2024-03-15,3750.0,3750.0,Headphones de la marca SoundMax Costo: $150 Disponibles: 25 Unidades 
Webcam,85,40,ClearView,Electronics,2024-03-20,3400.0,3400.0,Webcam de la marca ClearView Costo: $85 Disponibles: 40 Unidades 
Printer,200,10,PrintWell,Office,2024-04-01,2000.0,2000.0,Printer de la marca PrintWell Costo: $200 Disponibles: 10 Unidades 
Tablet,400,30,TabZone,Electronics,2024-04-05,12000.0,12000.0,Tablet de la marca TabZone Costo: $400 Disponibles: 30 Unidades 
Smartphone,800,20,PhonePro,Electronics,2024-04-10,16000.0,16000.0,Smartphone de la marca PhonePro Costo: $800 Disponibles: 20 Unidades 
External Hard Drive,100,50,StoreMore,Storage,2024-05-01,5000.0,5000.0,External Hard Drive de la marca StoreMore Costo: $100 Disponibles: 50 Unidades 
Speaker,90,35,SoundMax,Audio,2024-05-05,3150.0,3150.0,Speaker de la marca SoundMax Costo: $90 Disponibles: 35 Unidades 
Microphone,110,18,VoiceClear,Audio,2024-05-10,1980.0,1980.0,Microphone de la marca VoiceClear Costo: $110 Disponibles: 18 Unidades 
Charger,25,150,PowerPlus,Accessories,2024-05-15,3750.0,3750.0,Charger de la marca PowerPlus Costo: $25 Disponibles: 150 Unidades 
USB Cable,10,200,CableWorld,Accessories,2024-05-20,2000.0,2000.0,USB Cable de la marca CableWorld Costo: $10 Disponibles: 200 Unidades 
Power Bank,60,80,ChargeIt,Accessories,2024-05-25,4800.0,4800.0,Power Bank de la marca ChargeIt Costo: $60 Disponibles: 80 Unidades 
Router,150,25,NetSpeed,Networking,2024-06-01,3750.0,3750.0,Router de la marca NetSpeed Costo: $150 Disponibles: 25 Unidades 
Mouse Pad,20,100,ComfortZone,Accessories,2024-06-05,2000.0,2000.0,Mouse Pad de la marca ComfortZone Costo: $20 Disponibles: 100 Unidades 
Laptop Stand,55,45,ErgoLift,Accessories,2024-06-10,2475.0,2475.0,Laptop Stand de la marca ErgoLift Costo: $55 Disponibles: 45 Unidades 
Projector,550,8,ProView,Electronics,2024-06-15,4400.0,4400.0,Projector de la marca ProView Costo: $550 Disponibles: 8 Unidades 
Graphics Tablet,250,12,ArtMaster,Electronics,2024-06-20,3000.0,3000.0,Graphics Tablet de la marca ArtMaster Costo: $250 Disponibles: 12 Unidades 
